;0;200;400;600;800;1000
800,35;98,24;96,44;97,60;96,61;97,20;95,77
802,28;98,16;96,40;97,60;96,57;97,20;95,79
804,21;98,05;96,36;97,60;96,60;97,30;95,81
806,13;97,98;96,34;97,60;96,68;97,30;95,85
808,06;97,99;96,39;97,70;96,82;97,40;95,96
809,99;98,02;96,42;97,80;96,90;97,50;96,02
811,92;98,02;96,38;97,80;96,86;97,50;96,02
813,85;98,03;96,39;97,80;96,87;97,60;96,09
815,78;98,19;96,40;97,90;96,95;97,60;96,16
817,70;98,38;96,42;97,90;97,00;97,70;96,19
819,63;98,45;96,55;98,00;97,14;97,70;96,26
821,56;98,49;96,73;98,10;97,34;97,90;96,37
823,49;98,53;96,83;98,10;97,48;98,00;96,47
825,42;98,55;96,84;98,10;97,54;98,00;96,52
827,35;98,54;96,84;98,10;97,60;97,90;96,50
829,28;98,60;96,83;98,10;97,62;97,80;96,45
831,20;98,61;96,78;98,20;97,52;97,80;96,39
833,13;98,48;96,71;98,20;97,36;97,70;96,33
835,06;98,35;96,61;98,20;97,26;97,60;96,29
836,99;98,29;96,56;98,20;97,23;97,60;96,34
838,92;98,26;96,55;98,30;97,22;97,70;96,38
840,85;98,24;96,51;98,30;97,22;97,60;96,37
842,78;98,27;96,49;98,40;97,28;97,70;96,38
844,70;98,30;96,49;98,40;97,35;97,70;96,40
846,63;98,40;96,48;98,50;97,43;97,80;96,45
848,56;98,52;96,44;98,50;97,49;97,90;96,44
850,49;98,64;96,42;98,50;97,54;97,90;96,42
852,42;98,78;96,43;98,40;97,60;97,90;96,48
854,35;98,84;96,42;98,40;97,68;97,90;96,60
856,28;98,74;96,42;98,40;97,70;98,00;96,64
858,20;98,58;96,42;98,30;97,73;98,00;96,67
860,13;98,43;96,35;98,30;97,75;98,10;96,73
862,06;98,27;96,24;98,20;97,68;98,00;96,75
863,99;98,13;96,09;98,00;97,59;97,90;96,71
865,92;98,02;95,93;97,90;97,45;97,70;96,63
867,85;97,95;95,83;97,80;97,29;97,60;96,57
869,78;97,87;95,78;97,70;97,13;97,50;96,51
871,70;97,80;95,73;97,50;97,00;97,40;96,43
873,63;97,83;95,71;97,40;96,91;97,30;96,37
875,56;97,89;95,77;97,50;96,86;97,30;96,37
877,49;97,93;95,86;97,60;96,87;97,40;96,40
879,42;97,97;95,94;97,80;96,89;97,50;96,42
881,35;97,99;95,98;97,80;96,88;97,50;96,39
883,28;97,96;95,97;97,90;96,85;97,60;96,33
885,20;97,99;95,99;98,00;96,85;97,70;96,29
887,13;97,99;96,11;98,20;96,92;97,80;96,28
889,06;97,93;96,22;98,30;96,97;97,80;96,24
890,99;97,89;96,24;98,40;96,96;97,80;96,21
892,92;97,80;96,21;98,40;96,97;97,90;96,22
894,85;97,75;96,16;98,50;96,96;97,90;96,18
896,78;97,77;96,09;98,50;96,88;97,90;96,14
898,70;97,84;95,98;98,40;96,79;97,80;96,06
900,63;97,91;95,86;98,30;96,67;97,70;95,97
902,56;97,96;95,71;98,10;96,56;97,50;95,89
904,49;98,05;95,58;97,90;96,48;97,40;95,80
906,42;98,10;95,56;97,80;96,49;97,30;95,78
908,35;98,16;95,60;97,70;96,57;97,30;95,82
910,28;98,24;95,60;97,60;96,61;97,20;95,83
912,20;98,39;95,59;97,50;96,59;97,20;95,84
914,13;98,51;95,59;97,40;96,55;97,10;95,85
916,06;98,61;95,54;97,30;96,50;97,00;95,82
917,99;98,62;95,48;97,20;96,43;96,90;95,78
919,92;98,54;95,42;97,20;96,36;96,80;95,70
921,85;98,47;95,34;97,10;96,31;96,70;95,56
923,78;98,48;95,30;97,20;96,35;96,70;95,46
925,70;98,45;95,35;97,30;96,44;96,80;95,44
927,63;98,43;95,32;97,30;96,47;96,80;95,36
929,56;98,43;95,24;97,30;96,44;96,80;95,27
931,49;98,37;95,16;97,40;96,37;96,80;95,18
933,42;98,33;95,10;97,40;96,31;96,80;95,10
935,35;98,31;95,06;97,30;96,22;96,90;95,04
937,27;98,28;95,04;97,30;96,12;96,90;94,97
939,20;98,26;95,04;97,30;96,05;96,90;94,94
941,13;98,25;95,02;97,30;96,05;96,90;94,92
943,06;98,22;95,03;97,30;96,11;96,90;94,93
944,99;98,19;95,07;97,30;96,14;97,00;94,99
946,92;98,16;95,12;97,20;96,15;97,10;95,00
948,85;98,17;95,13;97,10;96,13;97,10;94,95
950,77;98,23;95,12;97,00;96,04;97,00;94,90
952,70;98,22;95,07;96,80;95,96;96,90;94,84
954,63;98,18;95,05;96,70;95,95;96,90;94,81
956,56;98,13;95,06;96,60;95,97;96,80;94,80
